X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766911.1;6284796.99;0.21;0.2;65;1680;61.7;20
766910.39;6284799.9;0.19;0.19;68;1520;64.2;17.6
766909.65;6284802.92;0.23;0.21;67;1840;64.9;18.4
766909.09;6284805.51;0.29;0.15;67;2320;65.7;18.4
766908.48;6284808.57;0.1;0.31;40;800;38.4;40
766907.8;6284811.63;0.32;0.17;54;2560;53.1;28.8
766907.21;6284814.44;0.28;0.2;68;2240;67.7;17.6
766906.61;6284817.41;0.27;0.21;65;2160;64;20
766905.99;6284820.5;0.26;0.2;73;2080;73.2;13.6
766905.41;6284823.42;0.25;0.25;63;2000;;21.6
