X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766320.24;6284600.18;0.16;0.14;28;1280;20.4
766320.19;6284603.09;0.23;0.17;26;1840;24.8
766320.07;6284606.11;0.2;0.12;29;1600;25.1
766320.01;6284609.29;0.14;0.14;27;1120;25.7
766319.94;6284611.7;0.19;0.09;32;1520;24.1
766319.88;6284615.17;0.08;0.16;29;640;26.7
766319.83;6284617.68;0.12;0.16;35;960;24.4
766319.75;6284620.77;0.17;0.19;20;1360;27.8
766319.66;6284623.68;0.14;0.13;22;1120;22
766319.57;6284626.93;0.2;0.18;14;1600;22
766319.51;6284630.09;0.15;0.16;24;1200;20
766319.46;6284632.48;0.15;0.17;25;1200;23.1
766319.37;6284635.21;0.16;0.15;25;1280;23.6
766319.39;6284638.29;0.15;0.39;16;1200;23.6
766319.35;6284640.16;0.09;0.42;20;720;21.7
766319.1;6284644.21;0.18;0.1;27;1440;22.8
766316.14;6284642.88;0.2;0.22;28;1600;24.3
766314.26;6284638.35;0.14;0.11;23;1120;26.1
766314.34;6284635.62;0.14;0.07;22;1120;22.2
766314.5;6284632.69;0.1;0.08;26;800;21.5
766314.44;6284628.51;0.09;1.02;34;720;22.7
766314.48;6284627.05;0.12;0.1;17;960;36
766314.69;6284622.88;0.15;0.04;4;1200;19.7
766314.73;6284620.34;0.16;0.14;12;1280;13.4
766314.77;6284617.82;0.15;0.07;16;1200;18.6
766314.84;6284614.93;0.11;0.07;25;880;19.4
766314.92;6284611.71;0.13;0.1;20;1040;22.4
766315.02;6284608.72;0.11;0.1;25;880;20.9
766315.07;6284605.63;0.12;0.09;22;960;22.6
766315.1;6284603.3;0.11;0.2;26;880;21.4
766315.14;6284599.95;0.16;0.12;10;1280;23.8
766315.18;6284597.97;0.13;0.12;16;1040;17.8
766315.35;6284593.39;0.11;0.13;26;880;19.5
766315.4;6284591.58;0.17;0.15;14;1360;23.2
766315.56;6284588.31;0.14;0.12;27;1120;19.5
766315.66;6284586.46;0.21;0.24;14;1680;24
766315.79;6284581.63;0.13;0.11;28;1040;12.4
766315.74;6284579.17;0.15;0.09;29;1200;24.2
766315.8;6284575.64;0.22;0.08;19;1760;24.7
766315.86;6284573.43;0.14;0.09;21;1120;21.4
766315.98;6284570.72;0.1;0.06;31;800;21.3
766316.04;6284567.9;0.15;0.1;22;1200;24.7
766316.09;6284565.02;0.13;0.11;15;1040;21.9
766316.27;6284561.01;0.13;0.12;34;1040;19.1
766316.28;6284559.03;0.17;0.15;28;1360;27
766316.4;6284555.86;0.23;0.18;34;1840;25.1
766316.46;6284552.45;0.28;0.14;14;2240;29.2
766316.49;6284550.01;0.14;0.13;26;1120;20.6
766316.63;6284546.93;0.18;0.09;26;1440;23.6
766316.74;6284543.78;0.14;0.08;31;1120;23.8
766316.85;6284541.12;0.2;0.12;23;1600;25.4
766316.93;6284538.69;0.16;0.18;25;1280;23
766317;6284535.61;0.11;0.26;27;880;23.9
766316.94;6284532.37;0.12;0.15;16;960;24.7
766312.05;6284531.16;0.22;0.08;26;1760;19.6
766311.9;6284534.48;0.17;0.22;16;1360;24.3
766311.85;6284536.71;0.23;0.09;30;1840;20.7
766311.79;6284539.72;0.18;0.24;22;1440;26.3
766311.71;6284542.71;0.22;0.09;32;1760;23.3
766311.68;6284545.09;0.22;0.07;38;1760;27.1
766311.61;6284548.22;0.16;0.11;34;1280;30
766311.53;6284550.86;0.19;0.23;20;1520;27.4
766311.44;6284554.17;0.18;0.08;28;1440;22.5
766311.36;6284557.27;0.15;0.09;26;1200;24.6
766311.33;6284560.06;0.16;0.07;25;1280;23.4
766311.24;6284563.18;0.15;0.07;27;1200;23
766311.11;6284566.15;0.15;0.06;22;1200;23.7
766311.04;6284568.91;0.18;0.07;27;1440;21.6
766310.98;6284571.81;0.2;0.06;25;1600;24.1
766310.92;6284574.54;0.15;0.1;28;1200;23.4
766310.84;6284577.94;0.17;0.07;17;1360;24.4
766310.79;6284580.58;0.21;0.12;17;1680;20
766310.72;6284583.52;0.14;0.08;25;1120;20.8
766310.63;6284586.7;0.15;0.06;22;1200;22.8
766310.53;6284589.2;0.17;0.11;29;1360;21.6
766310.42;6284592.76;0.23;0.06;22;1840;25.2
766310.41;6284595.07;0.17;0.07;31;1360;22.5
766310.31;6284598.11;0.19;0.1;28;1520;25.7
766310.22;6284601;0.16;0.09;27;1280;24.9
766310.14;6284604.04;0.16;0.12;28;1280;24
766310.03;6284606.73;0.22;0.08;25;1760;24.7
766309.9;6284610.04;0.16;0.07;26;1280;23.8
766309.83;6284612.66;0.18;0.09;23;1440;23.4
766309.79;6284615.3;0.22;0.07;19;1760;22.6
766309.76;6284618.44;0.16;0.08;26;1280;21.3
766309.67;6284620.76;0.19;0.22;6;1520;23.5
766309.59;6284623.94;0.18;0.08;21;1440;17.4
766309.58;6284627.02;0.18;0.15;31;1440;21.7
766309.53;6284630.12;0.17;0.08;29;1360;26.6
766309.38;6284633.21;0.17;0.08;25;1360;24.9
766309.39;6284636.53;0.21;0.06;27;1680;23.2
766309.27;6284639.22;0.15;0.09;28;1200;24.4
766309.24;6284641.08;0.23;0.12;26;1840;24.3
766304.35;6284636.54;0.16;0.24;18;1280;24.7
766304.4;6284634.25;0.17;0.26;24;1360;21.5
766304.47;6284631.38;0.15;0.1;13;1200;24.2
766304.58;6284628.09;0.14;0.31;17;1120;18.6
766304.62;6284625.25;0.19;0.22;19;1520;21.3
766304.68;6284622.91;0.17;0.21;20;1360;22.1
766304.76;6284619.15;0.1;0.21;31;800;22.1
766304.8;6284616.85;0.12;0.08;33;960;26
766304.93;6284614.34;0.12;0.14;26;960;26.1
766304.98;6284611.18;0.18;0.1;24;1440;23.4
766305.06;6284607.77;0.13;0.06;34;1040;23
766305.15;6284604.68;0.16;0.1;26;1280;26.5
766305.2;6284601.61;0.17;0.1;25;1360;23.6
766305.24;6284598.69;0.16;0.3;20;1280;23.3
766305.34;6284595.96;0.19;0.1;25;1520;22.7
766305.41;6284592.97;0.12;0.07;27;960;23.6
766305.48;6284590.65;0.17;0.09;23;1360;23.3
766305.56;6284586.84;0.15;0.09;25;1200;22.4
766305.63;6284584.44;0.14;0.18;22;1120;23
766305.67;6284581;0.18;0.08;23;1440;22.4
766305.68;6284578.6;0.15;0.1;33;1200;22.5
766305.84;6284575.23;0.17;0.1;29;1360;26.7
766305.91;6284572.61;0.13;0.12;23;1040;25.1
766305.99;6284569.68;0.14;0.11;25;1120;22.2
766306.02;6284566.21;0.16;0.07;25;1280;23
766306.09;6284563.9;0.14;0.11;25;1120;23
766306.25;6284560.57;0.21;0.09;25;1680;23
766306.35;6284557.79;0.22;0.14;18;1760;23.8
766306.46;6284554.63;0.18;0.12;26;1440;21.4
766306.56;6284551.77;0.16;0.07;28;1280;24.1
766306.64;6284548.67;0.15;0.09;26;1200;24.3
766306.64;6284546.13;0.18;0.06;26;1440;23.4
766306.71;6284542.18;0.34;0.14;16;2720;23.6
766306.77;6284539.77;0.17;0.21;29;1360;12.4
766306.89;6284536.4;0.24;0.18;24;1920;26
766306.98;6284533.89;0.15;0.18;23;1200;24.5
766305.83;6284531.02;0.2;0.13;32;1600;22.9
766301.93;6284531.75;0.26;0.08;27;2080;27.2
766301.93;6284534.6;0.19;0.13;24;1520;25.2
766301.81;6284537.6;0.2;0.16;28;1600;23.4
766301.68;6284540.67;0.21;0.12;26;1680;25.6
766301.67;6284543.33;0.2;0.14;29;1600;24.5
766301.6;6284546.33;0.18;0.1;35;1440;25.9
766301.45;6284549.18;0.17;0.08;34;1360;28.1
766301.39;6284551.94;0.2;0.1;33;1600;27.3
766301.31;6284554.97;0.18;0.13;26;1440;27.4
766301.2;6284557.7;0.17;0.13;28;1360;24.1
766301.13;6284560.95;0.17;0.13;29;1360;24.9
766301.04;6284563.8;0.16;0.1;28;1280;25.3
766301.04;6284566.26;0.2;0.07;20;1600;24.5
766301.09;6284570.13;0.18;0.15;18;1440;21.5
766301;6284572.39;0.18;0.07;23;1440;21
766300.88;6284575.53;0.18;0.11;19;1440;22.4
766300.84;6284578.39;0.17;0.12;19;1360;21.1
766300.79;6284580.94;0.19;0.14;30;1520;21.1
766300.71;6284583.61;0.17;0.11;26;1360;26.2
766300.58;6284586.82;0.15;0.09;27;1200;23.8
766300.47;6284589.92;0.17;0.11;33;1360;23.9
766300.42;6284592.74;0.22;0.11;25;1760;27.1
766300.36;6284595.74;0.25;0.22;17;2000;24.1
766300.31;6284598.74;0.18;0.14;23;1440;22
766300.23;6284601.51;0.4;0.25;17;3200;22.9
766300.1;6284604.4;0.15;0.1;16;1200;13
766300.03;6284607.41;0.18;0.09;26;1440;19.6
766299.96;6284610.24;0.18;0.07;32;1440;23.8
766299.84;6284613.32;0.18;0.17;13;1440;26.4
766299.65;6284615.5;0.18;0.09;10;1440;19.3
766299.63;6284619.19;0.2;0.06;26;1600;17.8
766299.55;6284622.02;0.19;0.3;24;1520;23.8
766299.52;6284625.44;0.2;0.26;21;1600;24.8
766299.46;6284627.53;0.17;0.32;10;1360;23.3
766299.46;6284631.11;0.2;0.19;31;1600;19.2
766299.36;6284633.89;0.15;0.19;22;1200;27.3
766299.27;6284636.79;0.17;0.28;22;1360;22.5
766294.25;6284635.99;0.11;0.37;23;880;23.5
