X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766720.79;6284787.66;0.32;0.18;53;2560;93.4
766718.59;6284789;0.48;0.17;31;3840;72.1
766715.67;6284790.47;0.41;0.08;56;3280;103.8
766713.72;6284791.44;0.45;0.12;57;3600;109.7
766710.4;6284793.16;0.47;0.15;47;3760;94
766707.94;6284794.64;0.4;0.11;39;3200;77
766704.93;6284796.28;0.4;0.09;59;3200;108.6
766703.05;6284797.27;0.26;0.05;45;2080;75.9
766700.66;6284798.58;0.39;0.14;49;3120;91.4
766697.93;6284799.91;0.39;0.17;59;3120;109.3
766695.6;6284801.18;0.47;0.08;47;3760;92.9
766692.78;6284802.63;0.5;0.09;52;4000;103.9
766690.48;6284803.83;0.44;0.11;53;3520;101.3
766687.52;6284805.49;0.47;0.11;46;3760;91.9
766685.6;6284806.47;0.33;0.11;55;2640;96.2
766682.99;6284807.81;0.5;0.11;58;4000;115.7
766680.75;6284809.01;0.45;0.11;58;3600;111.3
766677.79;6284810.56;0.45;0.12;51;3600;98.8
766674.92;6284812.13;0.49;0.11;50;3920;100
766672.17;6284813.58;0.43;0.15;61;3440;116.2
766669.96;6284814.78;0.5;0.19;38;4000;82.9
766667.03;6284816.35;0.41;0.1;58;3280;107.8
766665.27;6284817.18;0.47;0.09;49;3760;96.5
766661.62;6284819.1;0.03;0.07;61;240;83.9
766660.97;6284819.46;0.42;0.04;55;3360;102
766656.61;6284821.9;0.48;0.09;46;3840;92.3
766654.33;6284822.97;0.35;0.11;48;2800;86.5
766651.93;6284824.29;0.46;0.11;46;3680;91.1
766649.95;6284825.14;0.09;0.06;47;720;68.9
766647.53;6284826.54;0.46;0.21;41;3680;84.9
766645.98;6284821.74;0.4;0.09;46;3200;86.7
766647.9;6284820.64;0.35;0.12;60;2800;106.8
766650.99;6284819;0.41;0.09;52;3280;96.8
766653.57;6284817.67;0.44;0.13;45;3520;88.5
766655.41;6284816.65;0.48;0.1;52;3840;102.6
766658.89;6284814.81;0.51;0.06;57;4080;113.8
766661.58;6284813.4;0.4;0.11;62;3200;114.7
766662.97;6284812.62;0.44;0.07;41;3520;81.7
766667.09;6284810.49;0.47;0.15;53;3760;104.3
766668.35;6284809.85;0.52;0.08;12;4160;55.9
766672.35;6284807.81;0.51;0.08;49;4080;99.3
766673.67;6284807.15;0.35;0.22;42;2800;79.5
