X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766313.3;6284581.65;0.12;0.16;54;960;89.3;30.8
766313.26;6284579.52;0.13;0.11;50;1040;82.2;34
766313.29;6284576.26;0.16;0.14;53;1280;89.1;31.6
766313.4;6284573.11;0.16;0.08;51;1280;84.2;33.2
766313.49;6284569.81;0.14;0.07;38;1120;65.6;43.6
766313.61;6284566.92;0.16;0.09;46;1280;77.2;37.2
766313.62;6284564.39;0.09;0.06;50;720;79;34
766313.74;6284561.65;0.14;0.07;38;1120;65.6;43.6
766313.8;6284558.64;0.13;0.1;50;1040;81.9;34
766313.94;6284556.11;0.2;0.14;40;1600;72;42
766313.99;6284552.47;0.14;0.12;51;1120;84.4;33.2
766314;6284550.23;0.14;0.15;36;1120;65;45.2
766314.14;6284546.65;0.13;0.1;37;1040;64.8;44.4
766314.23;6284543.8;0.11;0.09;46;880;75.1;37.2
766314.36;6284540.92;0.11;0.13;37;880;64.7;44.4
766314.41;6284536.45;0.36;0.02;25;2880;57.5;54
766314.52;6284534.49;0.19;0.15;27;1520;56.8;52.4
766314.5;6284532.04;0.12;0.15;39;960;67.9;42.8
766309.53;6284532.03;0.14;0.13;27;1120;54.9;52.4
766309.44;6284533.51;0.13;0.18;26;1040;54.6;53.2
766309.34;6284537.29;0.11;0.17;48;880;80;35.6
766309.27;6284539.65;0.1;0.09;54;800;86.3;30.8
766309.25;6284541.73;0.38;0.38;10;3040;50.1;66
766309.18;6284545.53;0.11;0.1;43;880;71.4;39.6
766309.11;6284548.24;0.19;0.07;46;1520;77.9;37.2
766309.03;6284551.79;0.15;0.13;28;1200;56.2;51.6
766308.95;6284554.17;0.12;0.11;37;960;64.6;44.4
766308.84;6284557.34;0.2;0.1;37;1600;67.3;44.4
766308.82;6284560.11;0.11;0.12;31;880;57.9;49.2
766308.75;6284562.84;0.13;0.17;49;1040;82.4;34.8
766308.65;6284565.58;0.12;0.13;44;960;73.8;38.8
766308.54;6284569.07;0.09;0.08;51;720;81;33.2
766308.48;6284571.97;0.16;0.12;47;1280;79.4;36.4
766308.43;6284574.5;0.14;0.08;29;1120;56;50.8
766308.36;6284576.9;0.15;0.09;29;1200;56.5;50.8
766308.32;6284581.07;0.15;0.11;26;1200;53.9;53.2
766308.22;6284583.01;0.1;0.07;16;800;43.2;61.2
766308.12;6284586.81;0.1;0.15;37;800;64.8;44.4
766308;6284589.57;0.08;0.15;27;640;53.5;52.4
766307.93;6284592.34;0.1;0.16;42;800;71.2;40.4
766307.88;6284595.86;0.09;0.11;52;720;83.4;32.4
766307.79;6284598.35;0.18;0.1;45;1440;76.9;38
766307.72;6284600.96;0.11;0.12;42;880;70.6;40.4
766307.6;6284604.53;0.11;0.09;49;880;79.3;34.8
766307.5;6284607.08;0.13;0.09;42;1040;70.6;40.4
766307.4;6284609.85;0.12;0.08;34;960;60.6;46.8
766307.33;6284612.76;0.2;0.08;44;1600;75.8;38.8
766307.28;6284615.55;0.12;0.1;52;960;84.4;32.4
766307.26;6284618.36;0.11;0.09;48;880;77.9;35.6
766307.16;6284621.46;0.13;0.09;45;1040;74.6;38
766307.09;6284624.01;0.12;0.12;44;960;73.6;38.8
766307.08;6284627.68;0.1;0.1;50;800;80.5;34
766307.03;6284630.07;0.1;0.12;43;800;71.5;39.6
766306.88;6284633.37;0.12;0.1;38;960;65.6;43.6
766306.89;6284636.6;0.08;0.11;43;640;70.4;39.6
766306.79;6284638.12;0.06;0.12;33;480;58.4;47.6
766304.34;6284640.34;0.21;0.14;47;1680;82.2;36.4
766301.84;6284637.06;0.12;0.1;41;960;69.2;41.2
766301.92;6284633.77;0.11;0.13;33;880;60.2;47.6
766302.03;6284631.39;0.14;0.15;34;1120;62.7;46.8
766302.06;6284628.57;0.12;0.08;17;960;44.6;60.4
766302.12;6284625.06;0.14;0.08;34;1120;61.2;46.8
766302.23;6284622.48;0.14;0.15;13;1120;42.9;63.6
766302.25;6284619.95;0.14;0.12;36;1120;64.4;45.2
766302.33;6284616.78;0.1;0.11;18;800;45.3;59.6
766302.46;6284613.33;0.12;0.08;17;960;44.6;60.4
766302.53;6284610.49;0.17;0.12;9;1360;40.2;66.8
766302.56;6284607.69;0.13;0.07;24;1040;50.7;54.8
766302.67;6284604.18;0.13;0.08;21;1040;48.2;57.2
766302.7;6284601.98;0.12;0.07;30;960;56.2;50
766302.74;6284598.92;0.15;0.14;31;1200;59.5;49.2
766302.84;6284596.04;0.14;0.09;21;1120;48.6;57.2
766302.91;6284592.87;0.11;0.14;34;880;61.5;46.8
766303.01;6284590.19;0.14;0.14;35;1120;63.7;46
766303.06;6284587.09;0.12;0.11;28;960;54.9;51.6
766303.12;6284584.27;0.15;0.1;16;1200;44.8;61.2
766303.17;6284581.53;0.17;0.12;34;1360;63.1;46.8
766303.2;6284578.25;0.15;0.09;37;1200;65.2;44.4
766303.36;6284575.14;0.17;0.09;25;1360;53.1;54
766303.43;6284572.62;0.17;0.07;18;1360;46.5;59.6
766303.5;6284569.59;0.04;0.19;6;320;36.3;69.2
766303.54;6284566.07;0.16;0.08;39;1280;67.8;42.8
766303.64;6284563.22;0.11;0.15;35;880;62.8;46
766303.75;6284559.76;0.24;0.11;19;1920;49.8;58.8
766303.87;6284557.61;0.17;0.1;38;1360;67.4;43.6
766303.92;6284554.72;0.18;0.13;26;1440;55.1;53.2
766304.06;6284551.43;0.17;0.13;37;1360;66.9;44.4
766304.14;6284549.28;0.17;0.14;25;1360;54;54
766304.16;6284546.04;0.15;0.07;40;1200;68.4;42
766304.2;6284542.72;0.14;0.09;38;1120;66.1;43.6
766304.27;6284539.68;0.15;0.06;9;1200;38.9;66.8
766304.4;6284536.63;0.19;0.16;17;1520;47.6;60.4
766304.51;6284533.21;0.15;0.23;24;1200;54.1;54.8
766304.53;6284531.44;0.19;0.21;20;1520;51.1;58
766299.42;6284532.33;0.19;0.06;25;1520;53.1;54
766299.44;6284534.47;0.13;0.06;33;1040;59.4;47.6
766299.32;6284538.05;0.08;0.05;31;640;55.6;49.2
766299.17;6284540.64;0.12;0.09;34;960;60.8;46.8
766299.19;6284543.08;0.12;0.1;46;960;75.8;37.2
766299.1;6284546.33;0.16;0.07;43;1280;72.6;39.6
766298.96;6284548.98;0.12;0.06;23;960;49.3;55.6
766298.87;6284552.11;0.15;0.08;37;1200;65;44.4
766298.75;6284555.55;0.1;0.11;40;800;67.5;42
766298.7;6284557.8;0.11;0.07;46;880;74.6;37.2
766298.61;6284560.65;0.13;0.07;52;1040;84;32.4
766298.54;6284563.89;0.13;0.09;38;1040;65.7;43.6
766298.56;6284567.22;0.12;0.16;31;960;59;49.2
766298.55;6284569.32;0.12;0.16;41;960;70.7;41.2
766298.49;6284572.3;0.13;0.14;45;1040;75.8;38
766298.39;6284575.16;0.13;0.1;43;1040;72.2;39.6
766298.33;6284578.29;0.1;0.11;44;800;72.5;38.8
766298.28;6284580.67;0.1;0.1;26;800;52.2;53.2
766298.2;6284583.81;0.12;0.15;31;960;58.8;49.2
766298.02;6284587.44;0.12;0.11;41;960;69.5;41.2
766297.96;6284589.75;0.1;0.14;38;800;65.8;43.6
766297.92;6284592.97;0.11;0.13;48;880;78.9;35.6
766297.84;6284595.57;0.11;0.14;54;880;88.3;30.8
766297.8;6284598.7;0.12;0.11;46;960;76;37.2
766297.71;6284601.73;0.14;0.08;36;1120;63.5;45.2
766297.6;6284604.38;0.08;0.09;39;640;65.1;42.8
766297.47;6284607.53;0.12;0.11;26;960;53;53.2
