X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766888.04;6284808.04;0.36;0.16;62;2880;34.7
766887.46;6284811.04;0.44;0.19;61;3520;36
766886.83;6284814.08;0.33;0.22;63;2640;35.5
766886.2;6284816.9;0.42;0.16;66;3360;38.6
766885.69;6284819.56;0.35;0.19;62;2800;34.9
766885.93;6284822.13;0.48;0.43;69;3840;46.1
766890.21;6284822.25;0.41;0.22;64;3280;37.8
766891.02;6284818.98;0.35;0.18;38;2800;22.5
766891.5;6284816.86;0.37;0.19;65;2960;37.2
766892.08;6284813.86;0.37;0.19;59;2960;33.4
766892.7;6284811.01;0.3;0.18;64;2400;35.1
766893.36;6284807.87;0.43;0.2;59;3440;34.6
766893.95;6284804.84;0.23;0.21;63;1840;33.5
766894.53;6284802.12;0.39;0.19;62;3120;35.7
766895.16;6284798.95;0.36;0.17;62;2880;34.8
766895.88;6284795.89;0.32;0.19;64;2560;35.6
766896.52;6284792.76;0.39;0.14;63;3120;35.7
766897.09;6284789.89;0.29;0.21;67;2320;37.2
766897.71;6284787.14;0.34;0.19;65;2720;36.6
766898.35;6284783.94;0.41;0.16;66;3280;38.4
766898.95;6284781.27;0.33;0.2;66;2640;37.2
766899.63;6284778.21;0.41;0.2;62;3280;36.2
766900.25;6284775.21;0.29;0.2;61;2320;33.3
766900.79;6284772.38;0.25;0.24;61;2000;33
766901.37;6284769.39;0.44;0.24;59;3520;35.3
766902.02;6284766.43;0.22;0.27;59;1760;31.6
766902.58;6284764.01;0.23;0.23;66;1840;35.6
766903.2;6284761.16;0.25;0.23;57;2000;30.6
766903.8;6284758.04;0.24;0.25;56;1920;30.1
766904.56;6284754.53;0.22;0.25;57;1760;30.3
766905.06;6284752.07;0.19;0.28;69;1520;37.4
766905.69;6284749.1;0.2;0.25;74;1600;40.7
766906.1;6284747.07;0.18;0.23;62;1440;32.2
766906.93;6284742.88;0.21;0.24;57;1680;30
766907.42;6284740.7;0.43;0.21;52;3440;30.6
766908.1;6284737.91;0.36;0.15;51;2880;28.4
766911.8;6284736.03;0.58;0.22;45;4640;29.4
766913.17;6284737.94;0.22;0.23;54;1760;28.5
766912.58;6284740.82;0.28;0.26;53;2240;29.2
766911.93;6284743.87;0.22;0.25;60;1760;32
766911.24;6284747.03;0.27;0.23;53;2160;28.8
766910.77;6284749.28;0.21;0.29;57;1680;30.6
766910.06;6284752.75;0.2;0.21;63;1600;33
766909.43;6284755.64;0.24;0.25;61;1920;32.9
766908.79;6284758.52;0.21;0.26;68;1680;36.9
766908.22;6284761.33;0.31;0.23;62;2480;34.6
766907.52;6284764.33;0.3;0.23;59;2400;32.6
766906.91;6284767.19;0.17;0.26;43;1360;23
766906.32;6284770.09;0.4;0.29;38;3200;24
766905.67;6284773.23;0.25;0.3;67;2000;37.5
766905.2;6284775.77;0.37;0.25;72;2960;43.1
766904.55;6284778.79;0.4;0.19;65;3200;37.9
766904.01;6284781.36;0.3;0.24;73;2400;42.1
766903.42;6284784.41;0.22;0.19;77;1760;42.6
766902.88;6284786.98;0.15;0.28;46;1200;24.2
766902.19;6284790.23;0.2;0.18;71;1600;37.7
766901.59;6284793.25;0.22;0.21;75;1760;41.4
766901.09;6284795.65;0.34;0.28;74;2720;44.4
766900.32;6284798.83;0.32;0.28;72;2560;42.4
766899.76;6284801.74;0.14;0.48;52;1120;28.7
766898.9;6284805.48;0.31;0.24;65;2480;36.7
766898.33;6284807.99;0.33;0.18;61;2640;33.8
766897.76;6284810.62;0.24;0.31;60;1920;33
766897.24;6284813.44;0.3;0.22;65;2400;36.2
766896.6;6284816.27;0.29;0.19;69;2320;38.3
766895.94;6284819.3;0.3;0.18;66;2400;36.4
766895.4;6284821.72;0.26;0.18;60;2080;31.9
766897.38;6284825.24;0.32;0.21;59;2560;32.7
766900.35;6284823.69;0.32;0.19;63;2560;34.9
766900.96;6284820.7;0.18;0.16;59;1440;29.8
766901.55;6284817.84;0.31;0.14;56;2480;30.1
766902.18;6284815.05;0.25;0.17;55;2000;28.9
766902.87;6284812.12;0.21;0.16;47;1680;24.4
766903.49;6284809.28;0.25;0.14;59;2000;30.8
766904.16;6284806.32;0.23;0.14;57;1840;29.3
766904.82;6284803.34;0.25;0.15;71;2000;38.3
766905.48;6284799.95;0.28;0.14;80;2240;45.7
766906.03;6284797.24;0.2;0.15;78;1600;42.3
