X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766774.82;6284764.87;0.47;0.13;0.77;3760
766778.33;6284762.99;0.49;0.16;0.86;3920
766779.76;6284762.15;0.25;0.06;0.78;2000
766783.74;6284760.12;0.45;0.08;0.78;3600
766786.57;6284758.73;0.38;0.14;0.88;3040
766788.79;6284757.56;0.41;0.2;0.84;3280
766792.25;6284755.7;0.44;0.1;0.91;3520
766794.71;6284754.38;0.37;0.13;0.68;2960
766796.59;6284753.37;0.48;0.05;0.84;3840
766799.15;6284752.17;0.53;0.17;0.52;4240
766800.38;6284751.46;0.54;0.06;0.48;4320
766800.41;6284751.45;0.06;0.06;0.98;480
766800.41;6284751.45;0.64;1.04;0.25;5120
766800.41;6284751.45;0.05;0.07;1;400
766800.41;6284751.45;0.62;1.03;0.21;4960
766800.41;6284751.44;0.61;0.08;0.39;4880
766800.48;6284751.38;0.09;0.06;0.75;720
766791.4;6284750.44;0.39;0.12;0.92;3120
766788.89;6284751.7;0.41;0.2;0.78;3280
766785.42;6284753.57;0.38;0.2;0.95;3040
766783.38;6284754.64;0.39;0.22;0.85;3120
766780.69;6284756.18;0.42;0.13;0.92;3360
766778.26;6284757.42;0.38;0.15;0.77;3040
766775.44;6284758.91;0.39;0.13;0.95;3120
766771.95;6284760.73;0.36;0.14;0.73;2880
766770.57;6284761.46;0.36;0.14;0.86;2880
766767.75;6284762.92;0.44;0.09;0.73;3520
766765.4;6284764.2;0.29;0.6;0.74;2320
766762.73;6284765.55;0.49;0.2;0.74;3920
766760.38;6284766.78;0.39;0.14;0.84;3120
766757.26;6284768.48;0.45;0.09;0.76;3600
766754.79;6284769.74;0.35;0.13;0.79;2800
766752.6;6284770.87;0.37;0.13;0.82;2960
766749.53;6284772.51;0.46;0.19;0.89;3680
766747.79;6284773.47;0.42;0.24;0.84;3360
766745.37;6284774.78;0.49;0.12;0.8;3920
766742.82;6284776.14;0.42;0.13;0.96;3360
766739.73;6284777.77;0.45;0.14;0.71;3600
766737.16;6284779.25;0.46;0.18;0.9;3680
766735.48;6284780.03;0.34;0.09;0.85;2720
766732.12;6284781.89;0.37;0.17;0.93;2960
766729.85;6284782.99;0.24;0.12;0.88;1920
766726.48;6284784.69;0.26;0.14;0.73;2080
766723.63;6284786.11;0.42;0.07;0.78;3360
766720.79;6284787.66;0.32;0.18;0.88;2560
766718.59;6284789;0.48;0.17;0.66;3840
766715.67;6284790.47;0.41;0.08;0.91;3280
766713.72;6284791.44;0.45;0.12;0.92;3600
766710.4;6284793.16;0.47;0.15;0.82;3760
766707.94;6284794.64;0.4;0.11;0.74;3200
766704.93;6284796.28;0.4;0.09;0.94;3200
766703.05;6284797.27;0.26;0.05;0.8;2080
766700.66;6284798.58;0.39;0.14;0.84;3120
766697.93;6284799.91;0.39;0.17;0.94;3120
766695.6;6284801.18;0.47;0.08;0.82;3760
766692.78;6284802.63;0.5;0.09;0.87;4000
766690.48;6284803.83;0.44;0.11;0.88;3520
766687.52;6284805.49;0.47;0.11;0.81;3760
766685.6;6284806.47;0.33;0.11;0.9;2640
766682.99;6284807.81;0.5;0.11;0.93;4000
766680.75;6284809.01;0.45;0.11;0.93;3600
766677.79;6284810.56;0.45;0.12;0.86;3600
766674.92;6284812.13;0.49;0.11;0.85;3920
766672.17;6284813.58;0.43;0.15;0.96;3440
766669.96;6284814.78;0.5;0.19;0.73;4000
766667.03;6284816.35;0.41;0.1;0.93;3280
766665.27;6284817.18;0.47;0.09;0.84;3760
766661.62;6284819.1;0.03;0.07;0.96;240
766660.97;6284819.46;0.42;0.04;0.9;3360
766656.61;6284821.9;0.48;0.09;0.81;3840
766654.33;6284822.97;0.35;0.11;0.83;2800
766651.93;6284824.29;0.46;0.11;0.81;3680
766649.95;6284825.14;0.09;0.06;0.82;720
766647.53;6284826.54;0.46;0.21;0.76;3680
766645.98;6284821.74;0.4;0.09;0.81;3200
766647.9;6284820.64;0.35;0.12;0.95;2800
766650.99;6284819;0.41;0.09;0.87;3280
766653.57;6284817.67;0.44;0.13;0.8;3520
766655.41;6284816.65;0.48;0.1;0.87;3840
766658.89;6284814.81;0.51;0.06;0.92;4080
766661.58;6284813.4;0.4;0.11;0.97;3200
766662.97;6284812.62;0.44;0.07;0.76;3520
766667.09;6284810.49;0.47;0.15;0.88;3760
766668.35;6284809.85;0.52;0.08;0.47;4160
766672.35;6284807.81;0.51;0.08;0.84;4080
766673.67;6284807.15;0.35;0.22;0.77;2800
766676.81;6284805.49;0.54;0.09;0.68;4320
766680.03;6284803.77;0.45;0.07;0.81;3600
766682.1;6284802.72;0.5;0.06;0.75;4000
766684.97;6284801.15;0.46;0.07;0.85;3680
766687.57;6284799.8;0.36;0.11;0.94;2880
766690.21;6284798.4;0.54;0.09;0.68;4320
766693.11;6284796.97;0.51;0.13;0.76;4080
766695.1;6284795.81;0.43;0.18;0.91;3440
766698.66;6284793.84;0.48;0.03;0.77;3840
766699.87;6284793.31;0.38;0.12;0.85;3040
766703.09;6284791.6;0.5;0.1;0.71;4000
766704.97;6284790.5;0.44;0.12;0.85;3520
766707.5;6284789.25;0.4;0.18;0.91;3200
766710.99;6284787.3;0.39;0.14;0.84;3120
766712.84;6284786.33;0.51;0.07;0.84;4080
766716.54;6284784.43;0.52;0.13;0.7;4160
766718.66;6284783.32;0.4;0.09;0.77;3200
766721.6;6284781.69;0.44;0.14;0.91;3520
766724.51;6284780.29;0.39;0.15;0.88;3120
766725.92;6284779.55;0.46;0.11;0.86;3680
766729.72;6284777.56;0.47;0.05;0.83;3760
766732.25;6284776.18;0.38;0.19;0.88;3040
766734.31;6284775.02;0.51;0.15;0.78;4080
766736.9;6284773.68;0.41;0.09;0.93;3280
766739.08;6284772.44;0.42;0.1;0.86;3360
766742.3;6284770.88;0.38;0.1;0.76;3040
766744.75;6284769.58;0.31;0.09;0.75;2480
766748.26;6284767.72;0.49;0.11;0.71;3920
766750.52;6284766.4;0.42;0.13;0.84;3360
766752.64;6284765.26;0.48;0.12;0.74;3840
766755.88;6284763.54;0.43;0.11;0.77;3440
766758.58;6284762.12;0.36;0.15;0.78;2880
766760.86;6284760.94;0.52;0.11;0.72;4160
766763.34;6284759.63;0.51;0.2;0.77;4080
766765.98;6284758.25;0.46;0.17;0.77;3680
766769.34;6284756.42;0.54;0.08;0.6;4320
766771.25;6284755.46;0.41;0.23;0.91;3280
766774.3;6284753.74;0.46;0.08;0.74;3680
766776.74;6284752.59;0.39;0.07;0.8;3120
766778.47;6284751.69;0.5;0.13;0.76;4000
766782.04;6284749.79;0.44;0.19;0.79;3520
766784.25;6284748.67;0.45;0.2;0.66;3600
766776.28;6284747.2;0.39;0.07;0.76;3120
766773.86;6284748.3;0.4;0.17;0.79;3200
766771.56;6284749.6;0.36;0.11;0.92;2880
766768.39;6284751.32;0.31;0.13;0.85;2480
766766.18;6284752.57;0.4;0.07;0.89;3200
766762.85;6284754.32;0.37;0.11;0.81;2960
766760.21;6284755.6;0.33;0.19;0.92;2640
766758.03;6284756.71;0.45;0.16;0.8;3600
766754.72;6284758.53;0.37;0.1;0.86;2960
766752.95;6284759.38;0.47;0.18;0.83;3760
766749.85;6284761.08;0.44;0.14;0.87;3520
766747.16;6284762.46;0.41;0.2;0.75;3280
766745.11;6284763.56;0.43;0.18;0.82;3440
766741.84;6284765.37;0.36;0.14;0.87;2880
766739.29;6284766.66;0.38;0.14;0.89;3040
766736.13;6284768.42;0.46;0.12;0.75;3680
766733.25;6284769.9;0.03;0.05;1;240
766731.67;6284770.66;0.44;0.05;0.77;3520
766728.84;6284772.22;0.38;0.12;0.86;3040
766726.96;6284773.28;0.43;0.15;0.82;3440
766723.64;6284775;0.35;0.12;0.8;2800
766721.74;6284775.99;0.41;0.11;0.86;3280
766718.59;6284777.69;0.45;0.1;0.76;3600
766717.76;6284778.17;0.56;0.11;0.68;4480
766713.78;6284780.22;0.48;0.05;0.68;3840
766712.42;6284780.87;0.41;0.11;0.86;3280
766709.55;6284782.47;0.42;0.15;0.87;3360
766707.56;6284783.56;0.1;0.13;0.76;800
