X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766661.62;6284819.1;0.03;0.07;61;240;177.1
766660.97;6284819.46;0.42;0.04;55;3360;215.3
766656.61;6284821.9;0.48;0.09;46;3840;194.8
766654.33;6284822.97;0.35;0.11;48;2800;182.6
766651.93;6284824.29;0.46;0.11;46;3680;192.3
766649.95;6284825.14;0.09;0.06;47;720;145.3
766647.53;6284826.54;0.46;0.21;41;3680;179.3
766645.98;6284821.74;0.4;0.09;46;3200;182.9
766647.9;6284820.64;0.35;0.12;60;2800;225.3
766650.99;6284819;0.41;0.09;52;3280;204.4
766653.57;6284817.67;0.44;0.13;45;3520;186.7
766655.41;6284816.65;0.48;0.1;52;3840;216.5
766658.89;6284814.81;0.51;0.06;57;4080;240.1
766661.58;6284813.4;0.4;0.11;62;3200;242.1
766662.97;6284812.62;0.44;0.07;41;3520;172.4
766667.09;6284810.49;0.47;0.15;53;3760;220.2
766668.35;6284809.85;0.52;0.08;12;4160;111.1
766672.35;6284807.81;0.51;0.08;49;4080;209.5
766673.67;6284807.15;0.35;0.22;42;2800;167.7
766676.81;6284805.49;0.54;0.09;33;4320;162.8
766680.03;6284803.77;0.45;0.07;46;3600;189.4
766682.1;6284802.72;0.5;0.06;40;4000;177.4
766684.97;6284801.15;0.46;0.07;50;3680;204.7
766687.57;6284799.8;0.36;0.11;59;2880;222.7
766690.21;6284798.4;0.54;0.09;33;4320;162.8
766693.11;6284796.97;0.51;0.13;41;4080;184.1
766695.1;6284795.81;0.43;0.18;56;3440;226.2
766698.66;6284793.84;0.48;0.03;42;3840;179.8
766699.87;6284793.31;0.38;0.12;50;3040;193.9
766703.09;6284791.6;0.5;0.1;36;4000;166.5
766704.97;6284790.5;0.44;0.12;50;3520;203.3
766707.5;6284789.25;0.4;0.18;56;3200;221
766710.99;6284787.3;0.39;0.14;49;3120;192.9
766712.84;6284786.33;0.51;0.07;49;4080;209.1
766716.54;6284784.43;0.52;0.13;35;4160;167.2
766718.66;6284783.32;0.4;0.09;42;3200;170.6
766721.6;6284781.69;0.44;0.14;56;3520;226.2
766724.51;6284780.29;0.39;0.15;53;3120;206.9
766725.92;6284779.55;0.46;0.11;51;3680;209.9
766729.72;6284777.56;0.47;0.05;48;3760;198.5
766732.25;6284776.18;0.38;0.19;53;3040;206.9
766734.31;6284775.02;0.51;0.15;43;4080;191
766736.9;6284773.68;0.41;0.09;58;3280;227
766739.08;6284772.44;0.42;0.1;51;3360;203
766742.3;6284770.88;0.38;0.1;41;3040;165.3
766744.75;6284769.58;0.31;0.09;40;2480;153.6
766748.26;6284767.72;0.49;0.11;36;3920;165.5
766750.52;6284766.4;0.42;0.13;49;3360;197.1
766752.64;6284765.26;0.48;0.12;39;3840;173.4
766755.88;6284763.54;0.43;0.11;42;3440;175.2
766758.58;6284762.12;0.36;0.15;43;2880;170.1
766760.86;6284760.94;0.52;0.11;37;4160;172.4
766763.34;6284759.63;0.51;0.2;42;4080;189.4
766765.98;6284758.25;0.46;0.17;42;3680;181.2
766769.34;6284756.42;0.54;0.08;25;4320;141.5
766771.25;6284755.46;0.41;0.23;56;3280;224.4
766774.3;6284753.74;0.46;0.08;39;3680;169.4
766776.74;6284752.59;0.39;0.07;45;3120;177.6
766778.47;6284751.69;0.5;0.13;41;4000;182.6
766782.04;6284749.79;0.44;0.19;44;3520;185.5
766784.25;6284748.67;0.45;0.2;31;3600;149.4
766776.28;6284747.2;0.39;0.07;41;3120;165.8
766773.86;6284748.3;0.4;0.17;44;3200;179
766771.56;6284749.6;0.36;0.11;57;2880;215.3
766768.39;6284751.32;0.31;0.13;50;2480;184.1
766766.18;6284752.57;0.4;0.07;54;3200;209.5
766762.85;6284754.32;0.37;0.11;46;2960;179.3
766760.21;6284755.6;0.33;0.19;57;2640;213.3
766758.03;6284756.71;0.45;0.16;45;3600;189.1
766754.72;6284758.53;0.37;0.1;51;2960;195.2
766752.95;6284759.38;0.47;0.18;48;3760;203
766749.85;6284761.08;0.44;0.14;52;3520;211
766747.16;6284762.46;0.41;0.2;40;3280;169.4
766745.11;6284763.56;0.43;0.18;47;3440;193.5
