X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766905.67;6284773.23;0.25;0.3;67;2000;42;18.4
766905.2;6284775.77;0.37;0.25;72;2960;48.3;14.4
766904.55;6284778.79;0.4;0.19;65;3200;42.4;20
766904.01;6284781.36;0.3;0.24;73;2400;47.1;13.6
766903.42;6284784.41;0.22;0.19;77;1760;47.7;10.4
766902.88;6284786.98;0.15;0.28;46;1200;27;35.2
766902.19;6284790.23;0.2;0.18;71;1600;42.2;15.2
766901.59;6284793.25;0.22;0.21;75;1760;46.3;12
766901.09;6284795.65;0.34;0.28;74;2720;49.7;12.8
766900.32;6284798.83;0.32;0.28;72;2560;47.4;14.4
766899.76;6284801.74;0.14;0.48;52;1120;32.1;30.4
766898.9;6284805.48;0.31;0.24;65;2480;41;20
766898.33;6284807.99;0.33;0.18;61;2640;37.8;23.2
766897.76;6284810.62;0.24;0.31;60;1920;36.9;24
766897.24;6284813.44;0.3;0.22;65;2400;40.5;20
766896.6;6284816.27;0.29;0.19;69;2320;42.9;16.8
766895.94;6284819.3;0.3;0.18;66;2400;40.7;19.2
766895.4;6284821.72;0.26;0.18;60;2080;35.7;24
766897.38;6284825.24;0.32;0.21;59;2560;36.6;24.8
766900.35;6284823.69;0.32;0.19;63;2560;39.1;21.6
766900.96;6284820.7;0.18;0.16;59;1440;33.4;24.8
766901.55;6284817.84;0.31;0.14;56;2480;33.7;27.2
766902.18;6284815.05;0.25;0.17;55;2000;32.4;28
766902.87;6284812.12;0.21;0.16;47;1680;27.3;34.4
766903.49;6284809.28;0.25;0.14;59;2000;34.4;24.8
766904.16;6284806.32;0.23;0.14;57;1840;32.8;26.4
766904.82;6284803.34;0.25;0.15;71;2000;42.9;15.2
766905.48;6284799.95;0.28;0.14;80;2240;51.1;8
766906.03;6284797.24;0.2;0.15;78;1600;47.4;9.6
766906.62;6284794.18;0.3;0.21;67;2400;41.9;18.4
766907.16;6284791.41;0.26;0.2;53;2080;31.7;29.6
766907.81;6284788.34;0.15;0.23;50;1200;28.6;32
766908.35;6284785.49;0.27;0.19;59;2160;35.4;24.8
766908.91;6284782.51;0.23;0.22;58;1840;34.4;25.6
766909.56;6284779.48;0.29;0.2;59;2320;35.9;24.8
766910.11;6284776.53;0.34;0.21;58;2720;36.4;25.6
766910.75;6284773.85;0.21;0.24;66;1680;39.6;19.2
766911.37;6284771.03;0.27;0.19;61;2160;36.7;23.2
766912.12;6284767.31;0.02;0.18;28;160;17.6;49.6
766912.67;6284764.74;0.28;0.22;60;2240;36.6;24
766913.44;6284761.05;0.68;0.05;37;5440;28.4;42.4
766914.01;6284758.28;0.11;0.23;59;880;32.9;24.8
766914.5;6284755.94;0.25;0.26;74;2000;47;12.8
766915.08;6284753.24;0.08;0.32;24;640;17.7;52.8
766915.73;6284750.51;0.27;0.21;66;2160;40.5;19.2
766916.54;6284746.77;0.31;0.39;66;2480;44;19.2
766917.04;6284744.13;0.23;0.29;63;1840;38.5;21.6
766917.66;6284741.07;0.22;0.27;75;1760;47.3;12
766918.22;6284738.34;0.23;0.24;69;1840;42.2;16.8
766918.84;6284735.29;0.26;0.18;70;2080;42.8;16
766919.48;6284732.84;0.31;0.16;89;2480;61.6;0.8
766924.02;6284733.86;0.27;0.13;66;2160;39.4;19.2
766923.59;6284735.96;0.25;0.14;59;2000;34.4;24.8
766923;6284739.14;0.24;0.25;58;1920;34.9;25.6
766922.4;6284742.4;0.2;0.25;83;1600;53.7;5.6
766921.97;6284744.88;0.18;0.41;74;1440;47.6;12.8
766921.28;6284747.94;0.22;0.18;72;1760;43.4;14.4
