X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766311.24;6284563.18;0.15;0.07;0.72;1200
766311.11;6284566.15;0.15;0.06;0.67;1200
766311.04;6284568.91;0.18;0.07;0.72;1440
766310.98;6284571.81;0.2;0.06;0.7;1600
766310.92;6284574.54;0.15;0.1;0.73;1200
766310.84;6284577.94;0.17;0.07;0.62;1360
766310.79;6284580.58;0.21;0.12;0.62;1680
766310.72;6284583.52;0.14;0.08;0.7;1120
766310.63;6284586.7;0.15;0.06;0.67;1200
766310.53;6284589.2;0.17;0.11;0.74;1360
766310.42;6284592.76;0.23;0.06;0.67;1840
766310.41;6284595.07;0.17;0.07;0.76;1360
766310.31;6284598.11;0.19;0.1;0.73;1520
766310.22;6284601;0.16;0.09;0.72;1280
766310.14;6284604.04;0.16;0.12;0.73;1280
766310.03;6284606.73;0.22;0.08;0.7;1760
766309.9;6284610.04;0.16;0.07;0.71;1280
766309.83;6284612.66;0.18;0.09;0.68;1440
766309.79;6284615.3;0.22;0.07;0.64;1760
766309.76;6284618.44;0.16;0.08;0.71;1280
766309.67;6284620.76;0.19;0.22;0.51;1520
766309.59;6284623.94;0.18;0.08;0.66;1440
766309.58;6284627.02;0.18;0.15;0.76;1440
766309.53;6284630.12;0.17;0.08;0.74;1360
766309.38;6284633.21;0.17;0.08;0.7;1360
766309.39;6284636.53;0.21;0.06;0.72;1680
766309.27;6284639.22;0.15;0.09;0.73;1200
766309.24;6284641.08;0.23;0.12;0.71;1840
766304.35;6284636.54;0.16;0.24;0.63;1280
766304.4;6284634.25;0.17;0.26;0.69;1360
766304.47;6284631.38;0.15;0.1;0.58;1200
766304.58;6284628.09;0.14;0.31;0.62;1120
766304.62;6284625.25;0.19;0.22;0.64;1520
766304.68;6284622.91;0.17;0.21;0.65;1360
766304.76;6284619.15;0.1;0.21;0.76;800
766304.8;6284616.85;0.12;0.08;0.78;960
766304.93;6284614.34;0.12;0.14;0.71;960
766304.98;6284611.18;0.18;0.1;0.69;1440
766305.06;6284607.77;0.13;0.06;0.79;1040
766305.15;6284604.68;0.16;0.1;0.71;1280
766305.2;6284601.61;0.17;0.1;0.7;1360
766305.24;6284598.69;0.16;0.3;0.65;1280
766305.34;6284595.96;0.19;0.1;0.7;1520
766305.41;6284592.97;0.12;0.07;0.72;960
766305.48;6284590.65;0.17;0.09;0.68;1360
766305.56;6284586.84;0.15;0.09;0.7;1200
766305.63;6284584.44;0.14;0.18;0.67;1120
766305.67;6284581;0.18;0.08;0.68;1440
766305.68;6284578.6;0.15;0.1;0.78;1200
766305.84;6284575.23;0.17;0.1;0.74;1360
766305.91;6284572.61;0.13;0.12;0.68;1040
766305.99;6284569.68;0.14;0.11;0.7;1120
766306.02;6284566.21;0.16;0.07;0.7;1280
766306.09;6284563.9;0.14;0.11;0.7;1120
766306.25;6284560.57;0.21;0.09;0.7;1680
766306.35;6284557.79;0.22;0.14;0.63;1760
766306.46;6284554.63;0.18;0.12;0.71;1440
766306.56;6284551.77;0.16;0.07;0.73;1280
766306.64;6284548.67;0.15;0.09;0.71;1200
766306.64;6284546.13;0.18;0.06;0.71;1440
766306.71;6284542.18;0.34;0.14;0.29;2720
766306.77;6284539.77;0.17;0.21;0.74;1360
766306.89;6284536.4;0.24;0.18;0.69;1920
766306.98;6284533.89;0.15;0.18;0.68;1200
766305.83;6284531.02;0.2;0.13;0.77;1600
766301.93;6284531.75;0.26;0.08;0.72;2080
766301.93;6284534.6;0.19;0.13;0.69;1520
766301.81;6284537.6;0.2;0.16;0.73;1600
766301.68;6284540.67;0.21;0.12;0.71;1680
766301.67;6284543.33;0.2;0.14;0.74;1600
766301.6;6284546.33;0.18;0.1;0.8;1440
766301.45;6284549.18;0.17;0.08;0.79;1360
766301.39;6284551.94;0.2;0.1;0.78;1600
766301.31;6284554.97;0.18;0.13;0.71;1440
766301.2;6284557.7;0.17;0.13;0.73;1360
766301.13;6284560.95;0.17;0.13;0.74;1360
766301.04;6284563.8;0.16;0.1;0.73;1280
766301.04;6284566.26;0.2;0.07;0.65;1600
766301.09;6284570.13;0.18;0.15;0.63;1440
766301;6284572.39;0.18;0.07;0.68;1440
766300.88;6284575.53;0.18;0.11;0.64;1440
766300.84;6284578.39;0.17;0.12;0.64;1360
766300.79;6284580.94;0.19;0.14;0.75;1520
766300.71;6284583.61;0.17;0.11;0.71;1360
766300.58;6284586.82;0.15;0.09;0.72;1200
766300.47;6284589.92;0.17;0.11;0.78;1360
766300.42;6284592.74;0.22;0.11;0.7;1760
766300.36;6284595.74;0.25;0.22;0.62;2000
766300.31;6284598.74;0.18;0.14;0.68;1440
766300.23;6284601.51;0.4;0.25;0.28;3200
766300.1;6284604.4;0.15;0.1;0.61;1200
766300.03;6284607.41;0.18;0.09;0.71;1440
766299.96;6284610.24;0.18;0.07;0.77;1440
766299.84;6284613.32;0.18;0.17;0.58;1440
766299.65;6284615.5;0.18;0.09;0.55;1440
766299.63;6284619.19;0.2;0.06;0.71;1600
766299.55;6284622.02;0.19;0.3;0.69;1520
766299.52;6284625.44;0.2;0.26;0.66;1600
766299.46;6284627.53;0.17;0.32;0.55;1360
766299.46;6284631.11;0.2;0.19;0.76;1600
766299.36;6284633.89;0.15;0.19;0.67;1200
766299.27;6284636.79;0.17;0.28;0.67;1360
766294.25;6284635.99;0.11;0.37;0.68;880
766294.3;6284633.26;0.18;0.33;0.58;1440
766294.41;6284630.39;0.21;0.21;0.6;1680
766294.45;6284627.8;0.19;0.23;0.63;1520
766294.52;6284624.7;0.21;0.22;0.65;1680
766294.64;6284621.69;0.2;0.23;0.65;1600
766294.65;6284618.68;0.21;0.17;0.7;1680
766294.67;6284616.14;0.27;0.18;0.7;2160
766294.83;6284612.77;0.18;0.22;0.62;1440
766294.91;6284609.97;0.19;0.25;0.58;1520
766294.98;6284606.64;0.18;0.26;0.69;1440
766295.03;6284603.82;0.19;0.09;0.74;1520
766295.15;6284601.13;0.23;0.12;0.7;1840
766295.27;6284598.02;0.17;0.26;0.65;1360
766295.29;6284595.19;0.23;0.21;0.75;1840
766295.34;6284592.07;0.22;0.19;0.65;1760
766295.38;6284589.29;0.18;0.2;0.67;1440
766295.46;6284586.29;0.2;0.17;0.67;1600
766295.55;6284583.06;0.16;0.25;0.61;1280
766295.64;6284580.26;0.19;0.14;0.65;1520
766295.63;6284577.65;0.16;0.49;0.58;1280
766295.73;6284574.02;0.2;0.21;0.63;1600
766295.75;6284571.29;0.16;0.15;0.67;1280
766295.78;6284568.72;0.19;0.29;0.58;1520
766295.92;6284565.61;0.19;0.27;0.62;1520
766295.99;6284562.47;0.16;0.17;0.74;1280
766296.05;6284559.44;0.19;0.18;0.69;1520
766296.12;6284556.33;0.21;0.16;0.7;1680
766296.18;6284553.56;0.17;0.17;0.72;1360
766296.29;6284550.32;0.2;0.13;0.74;1600
766296.33;6284547.55;0.13;0.19;0.71;1040
766296.39;6284544.6;0.18;0.17;0.67;1440
766296.44;6284541.56;0.2;0.13;0.69;1600
766296.5;6284538.57;0.2;0.17;0.69;1600
766296.66;6284535.68;0.2;0.17;0.71;1600
766296.74;6284532.75;0.15;0.22;0.78;1200
