X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766738.37;6284784.2;0.47;0.17;46;3760;43.5;59.2
766739.97;6284783.42;0.45;0.16;43;3600;40.6;61.6
766743.09;6284781.67;0.49;0.18;41;3920;40.3;63.2
766745.39;6284780.42;0.25;0.19;25;2000;26.6;76
766747.83;6284779.11;0.49;0.3;34;3920;37;68.8
766751.59;6284777.07;0.44;0.11;50;3520;45.1;56
766753.56;6284776.05;0.38;0.12;45;3040;40;60
766756.14;6284774.75;0.47;0.15;43;3760;40.9;61.6
766758.96;6284773.28;0.44;0.12;45;3520;41.3;60
766761.85;6284771.72;0.45;0.13;43;3600;40.2;61.6
766764.39;6284770.45;0.5;0.23;36;4000;37.7;67.2
766767.7;6284768.63;0.62;0.36;0;4960;24.6;96
766769.64;6284767.58;0.43;0.27;37;3440;37.5;66.4
766773.3;6284765.7;0.42;0.14;38;3360;36.3;65.6
766774.82;6284764.87;0.47;0.13;42;3760;39.9;62.4
766778.33;6284762.99;0.49;0.16;51;3920;48;55.2
766779.76;6284762.15;0.25;0.06;43;2000;35.2;61.6
766783.74;6284760.12;0.45;0.08;43;3600;39.6;61.6
766786.57;6284758.73;0.38;0.14;53;3040;46.5;53.6
766788.79;6284757.56;0.41;0.2;49;3280;44.9;56.8
766792.25;6284755.7;0.44;0.1;56;3520;50.1;51.2
766794.71;6284754.38;0.37;0.13;33;2960;32.1;69.6
766796.59;6284753.37;0.48;0.05;49;3840;44.3;56.8
766799.15;6284752.17;0.53;0.17;17;4240;26.6;82.4
766800.38;6284751.46;0.54;0.06;13;4320;24;85.6
766800.41;6284751.45;0.06;0.06;63;480;45.6;45.6
766800.41;6284751.45;0.64;1.04;-10;5120;31.2;104
766800.41;6284751.45;0.05;0.07;65;400;47.1;44
766800.41;6284751.45;0.62;1.03;-14;4960;29.1;107.2
766800.41;6284751.44;0.61;0.08;4;4880;22.6;92.8
766800.48;6284751.38;0.09;0.06;40;720;30.6;64
766791.4;6284750.44;0.39;0.12;57;3120;50;50.4
766788.89;6284751.7;0.41;0.2;43;3280;40.3;61.6
766785.42;6284753.57;0.38;0.2;60;3040;53.9;48
766783.38;6284754.64;0.39;0.22;50;3120;45.6;56
766780.69;6284756.18;0.42;0.13;57;3360;51;50.4
766778.26;6284757.42;0.38;0.15;42;3040;38.3;62.4
766775.44;6284758.91;0.39;0.13;60;3120;52.9;48
766771.95;6284760.73;0.36;0.14;38;2880;35.1;65.6
766770.57;6284761.46;0.36;0.14;51;2880;44.4;55.2
766767.75;6284762.92;0.44;0.09;38;3520;36.1;65.6
766765.4;6284764.2;0.29;0.6;39;2320;40.3;64.8
766762.73;6284765.55;0.49;0.2;39;3920;39.2;64.8
766760.38;6284766.78;0.39;0.14;49;3120;43.5;56.8
766757.26;6284768.48;0.45;0.09;41;3600;38.3;63.2
766754.79;6284769.74;0.35;0.13;44;2800;38.8;60.8
766752.6;6284770.87;0.37;0.13;47;2960;41.4;58.4
766749.53;6284772.51;0.46;0.19;54;3680;50.4;52.8
766747.79;6284773.47;0.42;0.24;49;3360;45.8;56.8
766745.37;6284774.78;0.49;0.12;45;3920;42.5;60
766742.82;6284776.14;0.42;0.13;61;3360;54.8;47.2
766739.73;6284777.77;0.45;0.14;36;3600;35.6;67.2
766737.16;6284779.25;0.46;0.18;55;3680;51.1;52
766735.48;6284780.03;0.34;0.09;50;2720;42.4;56
766732.12;6284781.89;0.37;0.17;58;2960;51.2;49.6
766729.85;6284782.99;0.24;0.12;53;1920;42.8;53.6
766726.48;6284784.69;0.26;0.14;38;2080;33.2;65.6
766723.63;6284786.11;0.42;0.07;43;3360;38.8;61.6
766720.79;6284787.66;0.32;0.18;53;2560;45.7;53.6
766718.59;6284789;0.48;0.17;31;3840;33.4;71.2
766715.67;6284790.47;0.41;0.08;56;3280;48.9;51.2
