X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766917.61;6284765.39;0.25;0.2;0.77;2000
766916.84;6284768.88;0.18;0.43;0.71;640
766916.26;6284771.51;0.22;0.23;0.71;1760
766915.63;6284774.55;0.3;0.17;0.67;2400
766915.12;6284777.11;0.27;0.22;0.7;2160
766914.55;6284779.73;0.3;0.18;0.69;2400
766913.98;6284782.64;0.3;0.21;0.7;2400
766913.34;6284785.71;0.31;0.19;0.7;2480
766912.73;6284788.51;0.32;0.21;0.66;2560
766912.13;6284791.31;0.27;0.17;0.71;2160
766911.61;6284794.08;0.26;0.16;0.65;2080
766911.1;6284796.99;0.21;0.2;0.75;1680
766910.39;6284799.9;0.19;0.19;0.78;1520
766909.65;6284802.92;0.23;0.21;0.77;1840
766909.09;6284805.51;0.29;0.15;0.77;2320
766908.48;6284808.57;0.1;0.31;0.5;800
766907.8;6284811.63;0.32;0.17;0.64;2560
766907.21;6284814.44;0.28;0.2;0.78;2240
766906.61;6284817.41;0.27;0.21;0.75;2160
766905.99;6284820.5;0.26;0.2;0.83;2080
766905.41;6284823.42;0.25;0.25;0.73;2000
