X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766909.56;6284779.48;0.29;0.2;59;2320;65.8
766910.11;6284776.53;0.34;0.21;58;2720;67.4
766910.75;6284773.85;0.21;0.24;66;1680;70.3
766911.37;6284771.03;0.27;0.19;61;2160;66.9
766912.12;6284767.31;0.02;0.18;28;160;42.4
766912.67;6284764.74;0.28;0.22;60;2240;66.7
766913.44;6284761.05;0.68;0.05;37;5440;62.1
766914.01;6284758.28;0.11;0.23;59;880;57.5
766914.5;6284755.94;0.25;0.26;74;2000;83.7
766915.08;6284753.24;0.08;0.32;24;640;43.1
766915.73;6284750.51;0.27;0.21;66;2160;73.2
766916.54;6284746.77;0.31;0.39;66;2480;78
766917.04;6284744.13;0.23;0.29;63;1840;68.4
766917.66;6284741.07;0.22;0.27;75;1760;83.3
766918.22;6284738.34;0.23;0.24;69;1840;75.2
766918.84;6284735.29;0.26;0.18;70;2080;77.6
766919.48;6284732.84;0.31;0.16;89;2480;111.7
766924.02;6284733.86;0.27;0.13;66;2160;72.3
766923.59;6284735.96;0.25;0.14;59;2000;63.1
766923;6284739.14;0.24;0.25;58;1920;62.8
766922.4;6284742.4;0.2;0.25;83;1600;93.9
766921.97;6284744.88;0.18;0.41;74;1440;81.2
766921.28;6284747.94;0.22;0.18;72;1760;77.8
766920.54;6284751.2;0.24;0.19;79;1920;89.3
766919.99;6284753.79;0.18;0.25;61;1440;63.1
766919.35;6284756.67;0.21;0.22;67;1680;71.3
766918.81;6284759.34;0.1;0.34;39;800;48.7
766918.15;6284762.7;0.22;0.21;68;1760;73
766917.61;6284765.39;0.25;0.2;67;2000;73.2
766916.84;6284768.88;0.18;0.43;61;640;65.1
766916.26;6284771.51;0.22;0.23;61;1760;64.8
766915.63;6284774.55;0.3;0.17;57;2400;63.7
766915.12;6284777.11;0.27;0.22;60;2160;66.1
766914.55;6284779.73;0.3;0.18;59;2400;66.1
766913.98;6284782.64;0.3;0.21;60;2400;67.6
766913.34;6284785.71;0.31;0.19;60;2480;67.9
766912.73;6284788.51;0.32;0.21;56;2560;64.1
766912.13;6284791.31;0.27;0.17;61;2160;66.7
766911.61;6284794.08;0.26;0.16;55;2080;59.6
766911.1;6284796.99;0.21;0.2;65;1680;68.6
766910.39;6284799.9;0.19;0.19;68;1520;71
766909.65;6284802.92;0.23;0.21;67;1840;72.3
766909.09;6284805.51;0.29;0.15;67;2320;74.9
766908.48;6284808.57;0.1;0.31;40;800;48.9
766907.8;6284811.63;0.32;0.17;54;2560;61.4
766907.21;6284814.44;0.28;0.2;68;2240;76.4
766906.61;6284817.41;0.27;0.21;65;2160;72
766905.99;6284820.5;0.26;0.2;73;2080;81.9
766905.41;6284823.42;0.25;0.25;63;2000;69
