X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766888.16;6284804.96;0.61;0.26;50;4880;41.4;42.2
766887.58;6284807.67;0.63;0.21;59;5040;48.4;35
766887.01;6284810.81;0.69;0.27;52;5520;45;40.6
766886.4;6284813.94;0.66;0.29;50;5280;42.9;42.2
766885.74;6284816.83;0.68;0.42;62;5440;56.4;32.6
766885.25;6284819.56;0.66;0.26;65;5280;55.7;30.2
766884.77;6284821.86;0.68;0.44;65;5440;59.9;30.2
766889.76;6284822.49;0.63;0.32;68;5040;59.1;27.8
766890.07;6284820.98;0.57;0.33;49;4560;40.7;43
766891.05;6284816.99;0.6;0.34;62;4800;52.5;32.6
766891.64;6284814.16;0.6;0.26;57;4800;46.7;36.6
766892.3;6284811.07;0.61;0.24;59;4880;48.3;35
766892.89;6284808.16;0.66;0.25;60;5280;50.7;34.2
766893.43;6284805.24;0.58;0.31;60;4640;49.6;34.2
766894.09;6284802.3;0.6;0.22;55;4800;44.4;38.2
766894.72;6284799.26;0.6;0.31;54;4800;45;39
766895.38;6284796.43;0.68;0.27;53;5440;45.5;39.8
766895.99;6284793.31;0.61;0.26;58;4880;47.8;35.8
766896.56;6284790.44;0.6;0.32;63;4800;53.1;31.8
766897.21;6284787.64;0.58;0.32;64;4640;53.5;31
766897.82;6284784.6;0.59;0.34;63;4720;53.2;31.8
766898.43;6284781.84;0.64;0.39;62;5120;54.6;32.6
766899.09;6284778.89;0.62;0.33;68;4960;58.9;27.8
766899.66;6284776.07;0.62;0.37;71;4960;63.1;25.4
766900.31;6284773.21;0.66;0.3;71;5280;63;25.4
766900.84;6284770.41;0.6;0.41;65;4800;56.8;30.2
766901.34;6284767.9;0.65;0.39;65;5200;57.9;30.2
766902;6284764.7;0.64;0.39;66;5120;58.7;29.4
766902.6;6284761.92;0.72;0.3;70;5760;63.9;26.2
766903.19;6284758.83;0.7;0.39;70;5600;65.2;26.2
766903.66;6284756.49;0.73;0.56;48;5840;47.2;43.8
766904.38;6284753.28;0.7;0.5;57;5600;53.5;36.6
766904.97;6284750.42;0.62;0.38;63;4960;54.8;31.8
766905.67;6284747.35;0.66;0.32;64;5280;55.9;31
766906.44;6284743.46;0.82;0.65;50;6560;53;42.2
766906.84;6284741.62;0.57;0.36;67;4560;56.9;28.6
766907.49;6284738.73;0.73;0.5;60;5840;57.4;34.2
766907.9;6284736.75;0.7;0.23;67;5600;58.5;28.6
766912.95;6284736.95;0.57;0.49;65;4560;57.4;30.2
766912.37;6284739.58;0.61;0.3;65;4880;55;30.2
766911.67;6284742.58;0.62;0.31;64;4960;54.5;31
766911.12;6284745.14;0.64;0.38;60;5120;52.5;34.2
766910.52;6284748.04;0.68;0.31;58;5440;50.5;35.8
766909.83;6284751.42;0.68;0.28;61;5440;52.8;33.4
766909.27;6284754.03;0.66;0.48;59;5280;53.9;35
766908.7;6284756.79;0.67;0.38;56;5360;49.6;37.4
766908.07;6284759.75;0.68;0.47;65;5440;60.5;30.2
766907.56;6284762.29;0.7;0.39;63;5600;57.4;31.8
766907.02;6284764.54;0.74;0.41;59;5920;55;35
766906.3;6284768.21;0.15;0.07;56;1200;33.6;37.4
766905.53;6284771.89;0.79;0.3;56;6320;51.6;37.4
766905.18;6284773.77;0.65;0.46;66;5200;60.4;29.4
766904.67;6284776.55;0.6;0.4;71;4800;63.1;25.4
766904.03;6284779.47;0.61;0.37;71;4880;62.8;25.4
766903.41;6284782.34;0.61;0.34;73;4880;64.4;23.8
766902.84;6284785.06;0.57;0.41;77;4560;69.4;20.6
766902.3;6284787.99;0.65;0.38;70;5200;63.2;26.2
766901.68;6284790.9;0.59;0.31;73;4720;63.1;23.8
766901.01;6284793.79;0.53;0.33;74;4240;62.5;23
766900.34;6284796.83;0.56;0.35;52;4480;43;40.6
766899.87;6284799.31;0.65;0.3;54;5200;46.1;39
766899.3;6284802.03;0.75;0.29;50;6000;45.1;42.2
766898.42;6284805.89;0.68;0.3;49;5440;42.8;43
766897.82;6284808.34;0.66;0.24;53;5280;44.6;39.8
766897.12;6284811.9;0.64;0.31;53;5120;45.1;39.8
766896.64;6284814.31;0.63;0.27;56;5040;46.8;37.4
766895.98;6284817.16;0.63;0.28;62;5040;52.3;32.6
766895.37;6284820.17;0.62;0.37;61;4960;52.7;33.4
766894.86;6284822.27;0.65;0.24;58;5200;48.5;35.8
766896.6;6284825.14;0.37;0.37;65;2960;49.4;30.2
766899.92;6284823.49;0.63;0.17;60;5040;48.6;34.2
766900.54;6284820.6;0.61;0.23;55;4880;44.8;38.2
766901.21;6284817.51;0.6;0.22;59;4800;47.7;35
766901.86;6284814.6;0.6;0.32;53;4800;44.3;39.8
766902.54;6284811.67;0.61;0.23;64;4880;52.7;31
766903.16;6284808.87;0.66;0.25;57;5280;48.1;36.6
766903.77;6284806.02;0.6;0.32;67;4800;57.1;28.6
766904.32;6284802.98;0.6;0.26;66;4800;54.9;29.4
766905.04;6284799.57;0.63;0.26;69;5040;58.9;27
766905.68;6284796.91;0.6;0.28;71;4800;60.5;25.4
766906.33;6284793.72;0.7;0.21;62;5600;53;32.6
766906.83;6284791.04;0.66;0.32;59;5280;51;35
766907.43;6284788.1;0.59;0.37;64;4720;54.7;31
766908.02;6284785.02;0.58;0.37;63;4640;53.4;31.8
766908.59;6284782.06;0.6;0.42;62;4800;54;32.6
766909.2;6284779.38;0.62;0.46;67;4960;60.5;28.6
766909.68;6284776.6;0.69;0.45;55;5520;50.5;38.2
766910.35;6284773.53;0.6;0.35;64;4800;54.6;31
766910.94;6284770.85;0.68;0.27;65;5440;56.5;30.2
766911.51;6284767.78;0.09;0.08;59;720;34.4;35
766912.3;6284764.41;0.7;0.32;55;5600;48.5;38.2
766913;6284761.24;0.93;0.06;20;7440;28.3;66.2
766913.71;6284757.69;0.71;0.17;32;5680;30.6;56.6
766914.05;6284756.01;0.66;0.3;60;5280;51.6;34.2
766914.61;6284753.3;0.64;0.32;58;5120;49.6;35.8
766915.29;6284750.39;0.77;0.35;49;6160;45.7;43
766916.1;6284746.78;0.69;0.38;56;5520;50.2;37.4
766916.65;6284744.33;0.7;0.37;48;5600;43.5;43.8
766917.33;6284741.04;0.63;0.41;61;5040;53.7;33.4
766917.87;6284738.37;0.63;0.45;56;5040;49.7;37.4
766920.33;6284735.33;0.61;0.41;77;4880;70.9;20.6
766923.58;6284734.99;0.64;0.25;70;5120;60.1;26.2
766922.89;6284738.26;0.68;0.24;71;5440;62.4;25.4
766922.34;6284740.81;0.68;0.39;75;5440;70.6;22.2
766921.76;6284743.61;0.64;0.25;79;5120;70.7;19
766921.11;6284746.64;0.71;0.22;76;5680;68.9;21.4
766920.39;6284749.77;0.69;0.36;64;5520;57.6;31
766919.79;6284752.46;0.63;0.39;77;5040;71.2;20.6
766919.2;6284755.28;0.65;0.26;66;5200;56.4;29.4
766918.62;6284758.08;0.62;0.28;65;4960;54.9;30.2
766918.08;6284760.89;0.71;0.41;66;5680;61.4;29.4
766917.48;6284763.88;0.67;0.54;67;5360;63.9;28.6
766916.92;6284766.5;0.66;0.34;64;5280;56.2;31
766916.28;6284769.61;0.66;0.3;61;5280;52.6;33.4
766915.75;6284772.15;0.65;0.4;68;5200;61.4;27.8
766915.08;6284775.41;0.65;0.23;68;5200;57.9;27.8
766914.53;6284778.09;0.64;0.26;63;5120;53.2;31.8
766914.04;6284780.86;0.64;0.41;67;5120;60.2;28.6
766913.39;6284783.8;0.61;0.3;71;4880;61.3;25.4
766912.72;6284786.57;0.65;0.25;65;5200;55.2;30.2
766912.14;6284789.44;0.6;0.37;65;4800;56;30.2
766911.62;6284792.35;0.57;0.26;66;4560;54;29.4
766911.07;6284795.21;0.59;0.22;63;4720;51;31.8
766910.47;6284797.95;0.58;0.28;68;4640;56.7;27.8
766909.93;6284800.6;0.6;0.29;68;4800;57.5;27.8
766909.27;6284803.31;0.59;0.38;68;4720;59;27.8
766908.61;6284806.2;0.57;0.34;73;4560;63;23.8
766908;6284809.25;0.61;0.24;69;4880;57.9;27
766907.4;6284812.11;0.68;0.26;54;5440;46.2;39
766906.73;6284815.01;0.66;0.23;54;5280;45.2;39
766906.15;6284817.84;0.66;0.27;58;5280;49.3;35.8
766905.54;6284820.68;0.64;0.41;57;5120;50.2;36.6
766904.89;6284823.48;0.58;0.37;61;4640;51.5;33.4
