X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766303.43;6284572.62;0.17;0.07;18;1360;53.6
766303.5;6284569.59;0.04;0.19;6;320;47.2
766303.54;6284566.07;0.16;0.08;39;1280;75.5
766303.64;6284563.22;0.11;0.15;35;880;68.6
766303.75;6284559.76;0.24;0.11;19;1920;57.1
766303.87;6284557.61;0.17;0.1;38;1360;75.1
766303.92;6284554.72;0.18;0.13;26;1440;61.8
766304.06;6284551.43;0.17;0.13;37;1360;74.2
766304.14;6284549.28;0.17;0.14;25;1360;60.4
766304.16;6284546.04;0.15;0.07;40;1200;76.2
766304.2;6284542.72;0.14;0.09;38;1120;73.2
766304.27;6284539.68;0.15;0.06;9;1200;49.6
766304.4;6284536.63;0.19;0.16;17;1520;54.3
766304.51;6284533.21;0.15;0.23;24;1200;59.3
766304.53;6284531.44;0.19;0.21;20;1520;56.9
766299.42;6284532.33;0.19;0.06;25;1520;60.4
766299.44;6284534.47;0.13;0.06;33;1040;66.3
766299.32;6284538.05;0.08;0.05;31;640;61.4
766299.17;6284540.64;0.12;0.09;34;960;67.3
766299.19;6284543.08;0.12;0.1;46;960;83
766299.1;6284546.33;0.16;0.07;43;1280;80.8
766298.96;6284548.98;0.12;0.06;23;960;55.3
766298.87;6284552.11;0.15;0.08;37;1200;72.4
766298.75;6284555.55;0.1;0.11;40;800;73.7
766298.7;6284557.8;0.11;0.07;46;880;81.9
766298.61;6284560.65;0.13;0.07;52;1040;92.3
766298.54;6284563.89;0.13;0.09;38;1040;72.7
766298.56;6284567.22;0.12;0.16;31;960;64.6
766298.55;6284569.32;0.12;0.16;41;960;76.9
766298.49;6284572.3;0.13;0.14;45;1040;82.8
766298.39;6284575.16;0.13;0.1;43;1040;79.3
766298.33;6284578.29;0.1;0.11;44;800;79
766298.28;6284580.67;0.1;0.1;26;800;57.7
766298.2;6284583.81;0.12;0.15;31;960;64.5
766298.02;6284587.44;0.12;0.11;41;960;76.2
766297.96;6284589.75;0.1;0.14;38;800;71.6
766297.92;6284592.97;0.11;0.13;48;880;85.7
766297.84;6284595.57;0.11;0.14;54;880;95.2
766297.8;6284598.7;0.12;0.11;46;960;83.2
766297.71;6284601.73;0.14;0.08;36;1120;70.6
766297.6;6284604.38;0.08;0.09;39;640;71.1
766297.47;6284607.53;0.12;0.11;26;960;58.8
766297.47;6284609.98;0.11;0.27;24;880;57.8
766297.34;6284613.06;0.11;0.14;48;880;85.9
766297.15;6284616.15;0.13;0.11;48;1040;86.7
766297.1;6284619.31;0.12;0.16;52;960;93.1
766297.05;6284622.08;0.13;0.08;39;1040;73.8
766297.02;6284625.75;0.06;0.14;38;480;69.4
766296.94;6284627.03;0.14;0.14;38;1120;73.8
766296.9;6284632.12;0.12;0.13;38;960;72.6
766296.88;6284633.62;0.11;0.11;49;880;86.9
766296.76;6284636.91;0.12;0.4;50;960;93.6
766291.74;6284635.84;0.11;0.06;42;880;76.3
766291.85;6284633.98;0.11;0.08;46;880;82
766291.92;6284629.78;0.16;0.11;40;1280;77.2
766291.97;6284627.84;0.11;0.09;45;880;80.7
766292.03;6284624.49;0.11;0.09;40;880;74
766292.13;6284621.13;0.15;0.09;30;1200;64.2
766292.16;6284619.51;0.11;0.08;25;880;57
766292.24;6284615.34;0.18;0.09;37;1440;74.2
766292.33;6284612.41;0.11;0.07;52;880;91
766292.41;6284609.87;0.11;0.1;42;880;76.8
766292.47;6284606.77;0.1;0.1;41;800;74.9
766292.58;6284603.95;0.05;0.09;51;400;85.6
766292.67;6284600.97;0.11;0.09;51;880;89.6
766292.78;6284597.57;0.11;0.07;53;880;92.5
766292.81;6284594.48;0.19;0.06;44;1520;84
766292.83;6284591.97;0.13;0.08;52;1040;92.5
766292.89;6284589.06;0.14;0.09;54;1120;96.7
