X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766727.45;6284790.21;1.08;0.35;73;8640;76.3
766729.98;6284788.91;1.25;0.29;78;10000;89.8
766732.58;6284787.53;1.11;0.29;73;8880;76
766734.74;6284786.35;0.93;0.32;55;7440;50.3
766737.73;6284784.64;1.09;0.23;76;8720;77.8
766740.1;6284783.44;1.27;0.49;70;10160;84.1
766742.83;6284781.97;1.15;0.46;67;9200;73.9
766745.17;6284780.7;1.48;0.35;73;11840;102.2
766747.77;6284779.24;1.12;0.3;70;8960;72.6
766750.84;6284777.61;1.42;0.34;68;11360;89.6
766753.04;6284776.42;1.5;0.37;79;12000;113.6
766755.45;6284775.16;0.99;0.33;63;7920;60.2
766758.47;6284773.57;1.11;0.34;74;8880;78.7
766760.95;6284772.31;1.57;0.38;78;12560;121
766763.23;6284771.12;1.28;0.25;69;10240;76.5
766765.74;6284769.76;1;0.34;65;8000;63
766769.13;6284767.95;1.28;0.3;67;10240;75.4
766771.05;6284766.93;1.22;0.4;81;9760;96.8
766773.66;6284765.46;1.5;0.39;72;12000;104.3
766776.18;6284764.1;1.14;0.4;71;9120;77.4
766779.08;6284762.57;1.2;0.29;81;9600;92.3
766781.43;6284761.37;1.29;0.31;73;10320;84.4
766784.43;6284759.84;1.22;0.42;74;9760;85.9
766786.75;6284758.67;1.12;0.32;82;8960;90.8
766789.24;6284757.32;1.41;0.41;76;11280;100.4
766791.86;6284755.95;1.16;0.32;78;9280;86.4
766794.45;6284754.61;1.05;0.32;71;8400;71.7
766797.12;6284753.19;1.3;0.33;76;10400;90.2
766799.5;6284751.97;1.36;0.36;79;10880;99.4
766801.35;6284751;1.15;0.52;86;9200;106.3
766792.4;6284750.13;0.84;0.49;76;6720;74.1
766790.13;6284751.25;1.16;0.44;79;9280;91.6
766787.8;6284752.45;1.24;0.34;68;9920;75.8
766785.28;6284753.83;1.11;0.54;79;8880;92.3
766782.87;6284755.09;1.19;0.47;84;9520;103
766780.33;6284756.58;1.29;0.51;81;10320;104.4
766777.56;6284758.04;1.09;0.48;68;8720;73.3
766775.86;6284758.98;1.5;0.33;66;12000;94.9
766772.39;6284760.7;1.26;0.3;67;10080;74.3
766770.25;6284761.82;1.17;0.58;82;9360;102
766767.48;6284763.25;1.44;0.3;77;11520;101.7
766765;6284764.54;1.21;0.23;74;9680;80.1
766762.6;6284765.81;1.31;0.32;81;10480;98.9
766760.29;6284767.08;1.25;0.43;75;10000;89.2
766757.53;6284768.56;1.36;0.36;75;10880;92.6
766755.03;6284769.87;1.1;0.41;73;8800;78.7
766752.27;6284771.29;1.25;0.36;71;10000;81
766749.99;6284772.59;1.32;0.59;77;10560;101.5
766747.55;6284773.93;1.03;0.46;77;8240;82.9
766744.97;6284775.29;1.18;0.41;83;9440;98.5
766742.37;6284776.58;1.47;0.58;59;11760;90.5
766739.77;6284778.02;1.28;0.38;79;10240;95.8
766737.41;6284779.38;1.09;0.41;72;8720;76.9
766735.14;6284780.5;1.06;0.33;76;8480;79.1
766732.49;6284781.91;1.14;0.47;80;9120;93.2
766729.78;6284783.25;1.35;0.56;70;10800;91.1
766727.29;6284784.52;1.29;0.44;58;10320;70.8
766725.08;6284785.66;1.17;0.54;63;9360;71.4
766721.63;6284787.47;1.29;0.54;78;10320;99.9
766719.58;6284788.58;1.13;0.27;71;9040;73.6
766716.63;6284790.12;1.13;0.35;76;9040;82.8
766713.95;6284791.56;1.2;0.33;68;9600;73.9
766711.84;6284792.69;1.1;0.26;63;8800;62.4
766709.08;6284794.25;1.09;0.28;71;8720;72.3
766706.41;6284795.69;1.11;0.57;62;8880;68.6
766704.02;6284797.02;1.11;0.33;68;8880;70.4
766701.63;6284798.27;1.29;0.33;80;10320;96.5
766698.66;6284799.76;1.14;0.3;83;9120;92.9
766696.09;6284801.14;1.04;0.45;61;8320;62.2
766693.62;6284802.42;1.47;0.35;72;11760;99.8
766690.86;6284803.84;1.3;0.29;75;10400;87.4
766688.19;6284805.31;1.12;0.34;77;8960;83.6
766685.85;6284806.5;1.14;0.29;75;9120;80.1
766683.19;6284807.94;1.34;0.38;79;10720;99
766680.95;6284809.09;1.21;0.32;82;9680;95.4
766678.06;6284810.59;1.29;0.42;80;10320;99.5
766675.52;6284811.97;1.2;0.41;74;9600;84.7
766672.95;6284813.36;1.08;0.46;85;8640;98.4
766670.34;6284814.74;1.07;0.49;67;8560;71.4
766667.59;6284816.19;1.29;0.32;79;10320;94.4
766665.11;6284817.37;1.06;0.37;77;8480;81.7
766663.42;6284818.21;1.1;0.27;64;8800;63.8
766659.7;6284820.23;0.96;0.43;46;7680;45.1
766657.41;6284821.52;1.02;0.4;74;8160;76.5
766654.94;6284822.8;1.02;0.53;73;8160;78.5
766652.12;6284824.26;1.13;0.47;79;9040;91.1
766650.27;6284825.05;0.8;0.44;34;6400;33.4
766647.05;6284823.97;1.07;0.48;70;8560;75.1
766647.58;6284820.79;1.33;0.43;75;10640;93.2
766650.83;6284819.09;1.19;0.33;75;9520;83.4
